marca,clase,provincia,servicio,cantidad
MITSUBISHI,Tanquero,GUAYAS,PARTICULAR,18
HYUNDAI,Camión,LOJA,ALQUILER,18
CHEVROLET,Camión,ESMERALDAS,ALQUILER,18
CHEVROLET,Trailer,GUAYAS,ALQUILER,18
FORD,Volqueta,PICHINCHA,ALQUILER,18
MITSUBISHI,Camión,SUCUMBÍOS,PARTICULAR,18
FORD,Volqueta,CARCHI,PARTICULAR,18
MACK,Volqueta,COTOPAXI,PARTICULAR,18
NISSAN,Volqueta,TUNGURAHUA,PARTICULAR,18
MITSUBISHI,Camión,PICHINCHA,MUNNICIPIO,18
MAZDA,Camión,MANABÍ,PARTICULAR,18
HINO,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,18
SCANIA,Camión,CHIMBORAZO,PARTICULAR,18
DAIHATSU,Tanquero,GUAYAS,PARTICULAR,18
NISSAN,Volqueta,EL ORO,PARTICULAR,18
INTERNATIONAL,Trailer,CARCHI,ALQUILER,18
Otras Marcas,Camión,IMBABURA,PARTICULAR,17
GMC,Camión,MANABÍ,PARTICULAR,17
ISUZU,Camión,LOJA,PARTICULAR,17
Otras Marcas,Trailer,COTOPAXI,PARTICULAR,17
DAIHATSU,Camión,AZUAY,ALQUILER,17
HINO,Volqueta,AZUAY,MUNNICIPIO,17
HINO,Tanquero,MANABÍ,ALQUILER,17
KENWORTH,Trailer,LOJA,ALQUILER,17
HINO,Volqueta,SUCUMBÍOS,ALQUILER,17
MERCEDES BENZ,Volqueta,SUCUMBÍOS,PARTICULAR,17
FORD,Tanquero,EL ORO,PARTICULAR,17
HINO,Camión,NAPO,ALQUILER,17
SCANIA,Trailer,PICHINCHA,ALQUILER,16
VOLVO,Volqueta,AZUAY,PARTICULAR,16
Otras Marcas,Trailer,LOS RÍOS,PARTICULAR,16
MACK,Tanquero,GUAYAS,PARTICULAR,16
JAC,Camión,EL ORO,PARTICULAR,16
MERCEDES BENZ,Volqueta,NAPO,MUNNICIPIO,16
FORD,Tanquero,PICHINCHA,PARTICULAR,16
HINO,Volqueta,CHIMBORAZO,MUNNICIPIO,16
INTERNATIONAL,Volqueta,TUNGURAHUA,PARTICULAR,16
MERCEDES BENZ,Camión,CHIMBORAZO,ALQUILER,16
HYUNDAI,Camión,ESMERALDAS,ALQUILER,16
ISUZU,Camión,MANABÍ,ALQUILER,16
TOYOTA,Camión,EL ORO,ALQUILER,16
FAW,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,16
DONGFENG,Camión,PICHINCHA,PARTICULAR,16
KENWORTH,Trailer,LOJA,PARTICULAR,16
DONGFENG,Camión,GUAYAS,PARTICULAR,16
Otras Marcas,Camión,TUNGURAHUA,PARTICULAR,15
MERCEDES BENZ,Tanquero,AZUAY,PARTICULAR,15
DAIHATSU,Camión,GALÁPAGOS,PARTICULAR,15
GMC,Camión,PICHINCHA,PARTICULAR,15
FREIGHTLINER,Volqueta,PICHINCHA,PARTICULAR,15
CHEVROLET,Camión,BOLÍVAR,ALQUILER,15
ISUZU,Camión,ESMERALDAS,PARTICULAR,15
MERCEDES BENZ,Volqueta,GUAYAS,PARTICULAR,15
HINO,Tanquero,AZUAY,PARTICULAR,15
FORD,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,15
Otras Marcas,Camión,COTOPAXI,PARTICULAR,15
QMC,Camión,LOJA,PARTICULAR,15
CHEVROLET,Camión,PICHINCHA,ESTADO,15
MACK,Trailer,AZUAY,PARTICULAR,15
FORD,Trailer,LOS RÍOS,PARTICULAR,15
MITSUBISHI,Volqueta,LOS RÍOS,PARTICULAR,15
ISUZU,Camión,CARCHI,ALQUILER,15
CHEVROLET,Camión,LOJA,ALQUILER,15
Otras Marcas,Trailer,AZUAY,PARTICULAR,15
MACK,Trailer,SANTA ELENA,PARTICULAR,15
HINO,Volqueta,IMBABURA,ALQUILER,15
CHEVROLET,Trailer,PICHINCHA,ALQUILER,15
HINO,Volqueta,EL ORO,ALQUILER,15
FORD,Tanquero,SANTA ELENA,PARTICULAR,15
NISSAN,Volqueta,LOJA,PARTICULAR,15
HINO,Volqueta,COTOPAXI,ALQUILER,14
DAIHATSU,Tanquero,MANABÍ,PARTICULAR,14
FORD,Volqueta,BOLÍVAR,PARTICULAR,14
HINO,Tanquero,TUNGURAHUA,ALQUILER,14
MERCEDES BENZ,Volqueta,EL ORO,ALQUILER,14
MACK,Tanquero,PICHINCHA,PARTICULAR,14
HINO,Camión,MORONA SANTIAGO,PARTICULAR,14
INTERNATIONAL,Volqueta,LOS RÍOS,PARTICULAR,14
NISSAN,Volqueta,AZUAY,MUNNICIPIO,14
MERCEDES BENZ,Camión,ESMERALDAS,PARTICULAR,14
FORD,Camión,LOS RÍOS,ALQUILER,14
CHEVROLET,Trailer,AZUAY,PARTICULAR,14
MACK,Volqueta,GUAYAS,PARTICULAR,14
HINO,Volqueta,IMBABURA,PARTICULAR,14
MERCEDES BENZ,Volqueta,CHIMBORAZO,PARTICULAR,14
DAIHATSU,Camión,SANTA ELENA,PARTICULAR,14
CHEVROLET,Volqueta,LOS RÍOS,PARTICULAR,14
INTERNATIONAL,Tanquero,PICHINCHA,PARTICULAR,14
Otras Marcas,Volqueta,AZUAY,PARTICULAR,14
SCANIA,Volqueta,LOS RÍOS,PARTICULAR,14
HINO,Trailer,GUAYAS,ALQUILER,14
JAC,Camión,LOJA,PARTICULAR,14
NISSAN,Camión,EL ORO,ALQUILER,14
INTERNATIONAL,Trailer,EL ORO,ALQUILER,14
FORD,Camión,EL ORO,ALQUILER,14
HINO,Volqueta,COTOPAXI,ESTADO,14
INTERNATIONAL,Volqueta,CARCHI,ESTADO,14
CHEVROLET,Camión,IMBABURA,MUNNICIPIO,13
HINO,Camión,GALÁPAGOS,PARTICULAR,13
TOYOTA,Camión,BOLÍVAR,PARTICULAR,13
MITSUBISHI,Volqueta,MANABÍ,PARTICULAR,13
NISSAN,Camión,ESMERALDAS,PARTICULAR,13
INTERNATIONAL,Volqueta,AZUAY,ALQUILER,13
NISSAN,Camión,IMBABURA,PARTICULAR,13
FORD,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,13
HINO,Volqueta,GUAYAS,PARTICULAR,13
MERCEDES BENZ,Trailer,COTOPAXI,PARTICULAR,13
INTERNATIONAL,Volqueta,LOJA,ESTADO,13
NISSAN,Trailer,GUAYAS,PARTICULAR,13
CHEVROLET,Volqueta,AZUAY,PARTICULAR,13
KENWORTH,Trailer,MANABÍ,ALQUILER,13
CHEVROLET,Tanquero,PICHINCHA,ALQUILER,13
INTERNATIONAL,Volqueta,TUNGURAHUA,ESTADO,13
FORD,Tanquero,TUNGURAHUA,PARTICULAR,13
ISUZU,Camión,EL ORO,ALQUILER,13
TOYOTA,Camión,PASTAZA,PARTICULAR,13
HINO,Volqueta,ORELLANA,PARTICULAR,13
MACK,Trailer,COTOPAXI,ALQUILER,13
MERCEDES BENZ,Trailer,TUNGURAHUA,ALQUILER,13
KIA,Camión,CAÑAR,PARTICULAR,13
KENWORTH,Trailer,LOS RÍOS,PARTICULAR,13
HYUNDAI,Camión,LOS RÍOS,ALQUILER,13
HINO,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,13
VOLKSWAGEN,Camión,LOS RÍOS,PARTICULAR,13
GMC,Trailer,GUAYAS,PARTICULAR,13
FORD,Trailer,COTOPAXI,PARTICULAR,13
MITSUBISHI,Volqueta,PICHINCHA,PARTICULAR,13
MITSUBISHI,Camión,AZUAY,ALQUILER,13
MACK,Volqueta,CHIMBORAZO,PARTICULAR,13
GMC,Camión,EL ORO,PARTICULAR,13
CHEVROLET,Camión,TUNGURAHUA,MUNNICIPIO,13
CHEVROLET,Trailer,LOS RÍOS,PARTICULAR,12
MERCEDES BENZ,Volqueta,TUNGURAHUA,ALQUILER,12
INTERNATIONAL,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,ESTADO,12
MITSUBISHI,Camión,PASTAZA,PARTICULAR,12
MAN,Camión,MANABÍ,PARTICULAR,12
MAZDA,Camión,LOS RÍOS,PARTICULAR,12
INTERNATIONAL,Camión,AZUAY,PARTICULAR,12
HYUNDAI,Trailer,MANABÍ,PARTICULAR,12
MERCEDES BENZ,Volqueta,MORONA SANTIAGO,PARTICULAR,12
CHEVROLET,Camión,PICHINCHA,MUNNICIPIO,12
MERCEDES BENZ,Tanquero,TUNGURAHUA,PARTICULAR,12
NISSAN,Camión,COTOPAXI,ALQUILER,12
CHEVROLET,Volqueta,MANABÍ,ALQUILER,12
MACK,Trailer,TUNGURAHUA,PARTICULAR,12
JMC,Camión,LOJA,PARTICULAR,12
TOYOTA,Camión,MORONA SANTIAGO,PARTICULAR,12
MERCEDES BENZ,Trailer,AZUAY,ALQUILER,12
NISSAN,Volqueta,CHIMBORAZO,PARTICULAR,12
Otras Marcas,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,12
HYUNDAI,Tanquero,GUAYAS,PARTICULAR,12
MERCEDES BENZ,Trailer,LOS RÍOS,PARTICULAR,12
MITSUBISHI,Camión,LOJA,ALQUILER,12
VOLKSWAGEN,Camión,PICHINCHA,PARTICULAR,12
HINO,Volqueta,TUNGURAHUA,MUNNICIPIO,12
INTERNATIONAL,Volqueta,COTOPAXI,PARTICULAR,12
HINO,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,MUNNICIPIO,12
INTERNATIONAL,Volqueta,PICHINCHA,ALQUILER,12
TOYOTA,Camión,ZAMORA CHINCHIPE,PARTICULAR,12
VOLVO,Trailer,PICHINCHA,ALQUILER,12
MITSUBISHI,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,12
CHEVROLET,Camión,AZUAY,MUNNICIPIO,12
INTERNATIONAL,Camión,MANABÍ,PARTICULAR,11
HYUNDAI,Camión,ORELLANA,PARTICULAR,11
MERCEDES BENZ,Tanquero,TUNGURAHUA,ALQUILER,11
CHEVROLET,Volqueta,ESMERALDAS,PARTICULAR,11
SCANIA,Trailer,PICHINCHA,PARTICULAR,11
MERCEDES BENZ,Tanquero,AZUAY,ALQUILER,11
DODGE,Volqueta,MANABÍ,PARTICULAR,11
ISUZU,Camión,IMBABURA,ALQUILER,11
VOLVO,Trailer,PICHINCHA,PARTICULAR,11
MERCEDES BENZ,Camión,BOLÍVAR,PARTICULAR,11
MAZDA,Camión,PICHINCHA,PARTICULAR,11
Otras Marcas,Trailer,MANABÍ,ALQUILER,11
SCANIA,Camión,EL ORO,PARTICULAR,11
Otras Marcas,Trailer,GUAYAS,ALQUILER,11
MAN,Camión,GUAYAS,PARTICULAR,11
KIA,Trailer,GUAYAS,PARTICULAR,11
MERCEDES BENZ,Tanquero,LOS RÍOS,PARTICULAR,11
INTERNATIONAL,Trailer,IMBABURA,ALQUILER,11
NISSAN,Volqueta,SUCUMBÍOS,PARTICULAR,11
CHEVROLET,Camión,ORELLANA,ALQUILER,11
HINO,Volqueta,CARCHI,ALQUILER,11
MITSUBISHI,Camión,CHIMBORAZO,ALQUILER,11
HINO,Volqueta,LOJA,MUNNICIPIO,11
MACK,Trailer,IMBABURA,ALQUILER,11
FREIGHTLINER,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,11
KENWORTH,Trailer,CARCHI,PARTICULAR,11
MERCEDES BENZ,Trailer,TUNGURAHUA,PARTICULAR,11
DAIHATSU,Camión,MANABÍ,ALQUILER,11
INTERNATIONAL,Volqueta,IMBABURA,ALQUILER,11
MACK,Trailer,CAÑAR,PARTICULAR,11
CHEVROLET,Volqueta,AZUAY,ALQUILER,11
JAC,Camión,IMBABURA,PARTICULAR,11
HYUNDAI,Camión,EL ORO,ALQUILER,11
HINO,Volqueta,CARCHI,PARTICULAR,11
INTERNATIONAL,Volqueta,IMBABURA,PARTICULAR,11
NISSAN,Camión,LOJA,PARTICULAR,11
MITSUBISHI,Camión,CARCHI,ALQUILER,10
TOYOTA,Camión,AZUAY,ALQUILER,10
FORD,Trailer,PICHINCHA,PARTICULAR,10
HINO,Volqueta,BOLÍVAR,PARTICULAR,10
NISSAN,Tanquero,GUAYAS,PARTICULAR,10
FORD,Volqueta,EL ORO,ALQUILER,10
FORD,Camión,CHIMBORAZO,ALQUILER,10
FREIGHTLINER,Trailer,MANABÍ,PARTICULAR,10
DAIHATSU,Camión,MORONA SANTIAGO,ALQUILER,10
INTERNATIONAL,Trailer,ORELLANA,ALQUILER,10
FORD,Volqueta,CAÑAR,PARTICULAR,10
INTERNATIONAL,Trailer,LOJA,PARTICULAR,10
MERCEDES BENZ,Trailer,COTOPAXI,ALQUILER,10
ISUZU,Tanquero,MANABÍ,PARTICULAR,10
FORD,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,10
KIA,Camión,GUAYAS,ESTADO,10
TOYOTA,Camión,SANTA ELENA,PARTICULAR,10
Otras Marcas,Trailer,COTOPAXI,ALQUILER,10
FORD,Tanquero,GUAYAS,ALQUILER,10
MERCEDES BENZ,Volqueta,ZAMORA CHINCHIPE,PARTICULAR,10
KENWORTH,Trailer,TUNGURAHUA,PARTICULAR,10
CHEVROLET,Tanquero,MANABÍ,ALQUILER,10
MERCEDES BENZ,Tanquero,PICHINCHA,ALQUILER,10
MERCEDES BENZ,Volqueta,MORONA SANTIAGO,ALQUILER,10
Otras Marcas,Camión,GUAYAS,MUNNICIPIO,10
HYUNDAI,Camión,COTOPAXI,ALQUILER,10
FORD,Volqueta,ZAMORA CHINCHIPE,PARTICULAR,10
DONGFENG,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,10
MAN,Trailer,PICHINCHA,PARTICULAR,10
INTERNATIONAL,Trailer,CHIMBORAZO,PARTICULAR,10
HINO,Trailer,ORELLANA,ALQUILER,10
CHEVROLET,Camión,ZAMORA CHINCHIPE,ALQUILER,10
FOTON,Camión,PICHINCHA,PARTICULAR,10
INTERNATIONAL,Volqueta,CHIMBORAZO,PARTICULAR,10
FREIGHTLINER,Trailer,MANABÍ,ALQUILER,10
QMC,Camión,ESMERALDAS,PARTICULAR,10
FREIGHTLINER,Trailer,CAÑAR,PARTICULAR,10
VOLVO,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,10
INTERNATIONAL,Volqueta,ESMERALDAS,PARTICULAR,10
Otras Marcas,Trailer,EL ORO,PARTICULAR,10
CHEVROLET,Volqueta,CARCHI,PARTICULAR,10
JAC,Camión,GUAYAS,PARTICULAR,10
HINO,Volqueta,BOLÍVAR,MUNNICIPIO,10
FAW,Camión,MANABÍ,PARTICULAR,10
FORD,Tanquero,AZUAY,PARTICULAR,10
MACK,Volqueta,IMBABURA,PARTICULAR,9
FORD,Volqueta,CARCHI,ALQUILER,9
HINO,Tanquero,COTOPAXI,ALQUILER,9
NISSAN,Tanquero,PICHINCHA,PARTICULAR,9
INTERNATIONAL,Trailer,TUNGURAHUA,ALQUILER,9
JAC,Camión,CHIMBORAZO,PARTICULAR,9
DAIHATSU,Camión,MORONA SANTIAGO,PARTICULAR,9
CHEVROLET,Tanquero,CARCHI,PARTICULAR,9
FREIGHTLINER,Trailer,IMBABURA,PARTICULAR,9
HINO,Volqueta,CAÑAR,PARTICULAR,9
Otras Marcas,Camión,ORELLANA,PARTICULAR,9
HINO,Volqueta,IMBABURA,MUNNICIPIO,9
HINO,Tanquero,LOS RÍOS,PARTICULAR,9
HINO,Volqueta,PASTAZA,MUNNICIPIO,9
Otras Marcas,Camión,CHIMBORAZO,PARTICULAR,9
INTERNATIONAL,Camión,PICHINCHA,ALQUILER,9
NISSAN,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,9
HINO,Tanquero,LOJA,PARTICULAR,9
VOLKSWAGEN,Volqueta,MANABÍ,PARTICULAR,9
NISSAN,Camión,LOS RÍOS,ALQUILER,9
TOYOTA,Camión,SUCUMBÍOS,PARTICULAR,9
FREIGHTLINER,Trailer,IMBABURA,ALQUILER,9
INTERNATIONAL,Volqueta,EL ORO,PARTICULAR,9
MAN,Volqueta,PICHINCHA,PARTICULAR,9
INTERNATIONAL,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,9
KENWORTH,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,9
NISSAN,Volqueta,COTOPAXI,PARTICULAR,9
VOLVO,Volqueta,MANABÍ,PARTICULAR,9
JMC,Camión,IMBABURA,PARTICULAR,9
MACK,Trailer,ORELLANA,PARTICULAR,9
Otras Marcas,Volqueta,TUNGURAHUA,PARTICULAR,9
CHEVROLET,Volqueta,CHIMBORAZO,PARTICULAR,9
HYUNDAI,Camión,CHIMBORAZO,ALQUILER,9
VOLKSWAGEN,Camión,MANABÍ,PARTICULAR,9
MAN,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,9
FREIGHTLINER,Trailer,TUNGURAHUA,PARTICULAR,9
MERCEDES BENZ,Camión,MORONA SANTIAGO,PARTICULAR,9
HINO,Camión,SANTA ELENA,ALQUILER,9
CHEVROLET,Camión,MORONA SANTIAGO,ALQUILER,9
HINO,Volqueta,PICHINCHA,MUNNICIPIO,9
MITSUBISHI,Camión,NAPO,PARTICULAR,9
Otras Marcas,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,9
MITSUBISHI,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,MUNNICIPIO,9
Otras Marcas,Camión,CAÑAR,PARTICULAR,9
ISUZU,Camión,AZUAY,ALQUILER,9
FORD,Camión,IMBABURA,ALQUILER,9
FORD,Camión,TUNGURAHUA,ESTADO,9
DONGFENG,Camión,AZUAY,PARTICULAR,9
MERCEDES BENZ,Trailer,CAÑAR,ALQUILER,9
DAIHATSU,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,9
INTERNATIONAL,Volqueta,CARCHI,PARTICULAR,9
HYUNDAI,Camión,SUCUMBÍOS,PARTICULAR,9
Otras Marcas,Tanquero,MANABÍ,PARTICULAR,9
MAN,Volqueta,AZUAY,PARTICULAR,9
CHEVROLET,Camión,LOJA,MUNNICIPIO,8
FORD,Camión,GUAYAS,ESTADO,8
KIA,Camión,ORELLANA,PARTICULAR,8
CHEVROLET,Volqueta,LOJA,PARTICULAR,8
HINO,Volqueta,CAÑAR,ALQUILER,8
MACK,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,8
CHEVROLET,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,8
MACK,Trailer,CARCHI,ALQUILER,8
Otras Marcas,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,8
KIA,Camión,COTOPAXI,ALQUILER,8
CHEVROLET,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,MUNNICIPIO,8
CHEVROLET,Volqueta,TUNGURAHUA,ALQUILER,8
VOLVO,Volqueta,IMBABURA,PARTICULAR,8
MERCEDES BENZ,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,8
DODGE,Camión,MANABÍ,PARTICULAR,8
DAIHATSU,Camión,GUAYAS,ALQUILER,8
QMC,Camión,AZUAY,PARTICULAR,8
FOTON,Camión,MANABÍ,PARTICULAR,8
KENWORTH,Trailer,TUNGURAHUA,ALQUILER,8
NISSAN,Camión,TUNGURAHUA,ALQUILER,8
KIA,Camión,BOLÍVAR,PARTICULAR,8
HINO,Tanquero,CHIMBORAZO,PARTICULAR,8
MITSUBISHI,Volqueta,EL ORO,PARTICULAR,8
FREIGHTLINER,Camión,LOS RÍOS,PARTICULAR,8
INTERNATIONAL,Tanquero,MANABÍ,PARTICULAR,8
NISSAN,Trailer,LOS RÍOS,PARTICULAR,8
SCANIA,Trailer,LOS RÍOS,PARTICULAR,8
MERCEDES BENZ,Camión,CARCHI,PARTICULAR,8
HYUNDAI,Camión,ZAMORA CHINCHIPE,PARTICULAR,8
VOLKSWAGEN,Volqueta,PICHINCHA,PARTICULAR,8
CHEVROLET,Trailer,MANABÍ,PARTICULAR,8
KIA,Camión,SUCUMBÍOS,PARTICULAR,8
JMC,Camión,GUAYAS,PARTICULAR,8
JAC,Camión,COTOPAXI,PARTICULAR,8
FREIGHTLINER,Trailer,TUNGURAHUA,ALQUILER,8
NISSAN,Volqueta,TUNGURAHUA,ALQUILER,8
MERCEDES BENZ,Volqueta,LOJA,ALQUILER,8
HINO,Tanquero,BOLÍVAR,PARTICULAR,8
DAIHATSU,Camión,EL ORO,ALQUILER,8
TOYOTA,Tanquero,MANABÍ,PARTICULAR,8
INTERNATIONAL,Trailer,CARCHI,PARTICULAR,8
INTERNATIONAL,Camión,IMBABURA,PARTICULAR,8
MACK,Trailer,COTOPAXI,PARTICULAR,8
FREIGHTLINER,Trailer,SUCUMBÍOS,PARTICULAR,8
NISSAN,Volqueta,CAÑAR,PARTICULAR,8
FREIGHTLINER,Trailer,CARCHI,PARTICULAR,8
HINO,Trailer,MANABÍ,PARTICULAR,8
Otras Marcas,Trailer,LOJA,PARTICULAR,8
NISSAN,Camión,GUAYAS,ALQUILER,8
FORD,Tanquero,CHIMBORAZO,PARTICULAR,8
Otras Marcas,Tanquero,GUAYAS,PARTICULAR,8
HYUNDAI,Camión,PICHINCHA,MUNNICIPIO,8
MITSUBISHI,Camión,ESMERALDAS,ALQUILER,8
KIA,Camión,GUAYAS,ALQUILER,8
QMC,Trailer,GUAYAS,PARTICULAR,8
SCANIA,Volqueta,TUNGURAHUA,PARTICULAR,8
VOLVO,Trailer,LOS RÍOS,PARTICULAR,8
FORD,Tanquero,COTOPAXI,PARTICULAR,8
MERCEDES BENZ,Trailer,CAÑAR,PARTICULAR,8
MITSUBISHI,Camión,MORONA SANTIAGO,PARTICULAR,8
MERCEDES BENZ,Camión,IMBABURA,PARTICULAR,8
KENWORTH,Trailer,CAÑAR,PARTICULAR,7
MITSUBISHI,Tanquero,PICHINCHA,PARTICULAR,7
CHEVROLET,Volqueta,COTOPAXI,PARTICULAR,7
MACK,Volqueta,ORELLANA,PARTICULAR,7
MITSUBISHI,Camión,GUAYAS,ESTADO,7
NISSAN,Volqueta,MANABÍ,MUNNICIPIO,7
HINO,Trailer,LOS RÍOS,PARTICULAR,7
NISSAN,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,7
FORD,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,7
FAW,Camión,IMBABURA,PARTICULAR,7
SCANIA,Camión,PICHINCHA,ALQUILER,7
HINO,Tanquero,ORELLANA,PARTICULAR,7
MITSUBISHI,Camión,GALÁPAGOS,PARTICULAR,7
MITSUBISHI,Volqueta,ESMERALDAS,PARTICULAR,7
MERCEDES BENZ,Tanquero,MANABÍ,PARTICULAR,7
NISSAN,Volqueta,BOLÍVAR,PARTICULAR,7
CHEVROLET,Camión,GALÁPAGOS,PARTICULAR,7
Otras Marcas,Tanquero,GUAYAS,ALQUILER,7
QMC,Camión,CAÑAR,PARTICULAR,7
Otras Marcas,Camión,CHIMBORAZO,ALQUILER,7
FORD,Volqueta,COTOPAXI,ALQUILER,7
FORD,Camión,TUNGURAHUA,ALQUILER,7
DAIHATSU,Camión,CHIMBORAZO,ALQUILER,7
SCANIA,Volqueta,MANABÍ,PARTICULAR,7
NISSAN,Camión,CARCHI,PARTICULAR,7
TOYOTA,Camión,ORELLANA,PARTICULAR,7
CHEVROLET,Camión,CHIMBORAZO,MUNNICIPIO,7
CHEVROLET,Volqueta,LOJA,ESTADO,7
MITSUBISHI,Camión,ORELLANA,ALQUILER,7
HINO,Volqueta,NAPO,PARTICULAR,7
NISSAN,Volqueta,ORELLANA,ALQUILER,7
MACK,Volqueta,MANABÍ,ALQUILER,7
CHEVROLET,Camión,CARCHI,MUNNICIPIO,7
JAC,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,7
DODGE,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,7
JAC,Camión,AZUAY,ALQUILER,7
MITSUBISHI,Camión,ZAMORA CHINCHIPE,PARTICULAR,7
INTERNATIONAL,Volqueta,CAÑAR,MUNNICIPIO,7
HINO,Volqueta,CHIMBORAZO,ALQUILER,7
CHEVROLET,Volqueta,CAÑAR,ESTADO,7
HINO,Trailer,EL ORO,PARTICULAR,7
INTERNATIONAL,Volqueta,LOS RÍOS,ESTADO,7
KIA,Camión,CARCHI,PARTICULAR,7
FORD,Camión,CAÑAR,ALQUILER,7
CHEVROLET,Camión,GUAYAS,ESTADO,7
HINO,Tanquero,EL ORO,PARTICULAR,7
CHEVROLET,Camión,BOLÍVAR,ESTADO,7
MACK,Volqueta,LOJA,PARTICULAR,7
QMC,Camión,EL ORO,ALQUILER,7
MITSUBISHI,Volqueta,CHIMBORAZO,PARTICULAR,7
MACK,Trailer,MANABÍ,ALQUILER,7
NISSAN,Volqueta,ZAMORA CHINCHIPE,MUNNICIPIO,7
VOLVO,Volqueta,LOS RÍOS,ESTADO,7
FORD,Trailer,EL ORO,PARTICULAR,7
CHEVROLET,Volqueta,COTOPAXI,MUNNICIPIO,7
Otras Marcas,Trailer,CHIMBORAZO,PARTICULAR,7
JMC,Camión,TUNGURAHUA,PARTICULAR,7
INTERNATIONAL,Camión,BOLÍVAR,PARTICULAR,7
MERCEDES BENZ,Volqueta,ESMERALDAS,PARTICULAR,7
Otras Marcas,Trailer,ESMERALDAS,PARTICULAR,7
FORD,Trailer,PICHINCHA,ALQUILER,7
KIA,Camión,MANABÍ,ALQUILER,7
FOTON,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,7
INTERNATIONAL,Volqueta,MANABÍ,ESTADO,7
JMC,Camión,CAÑAR,PARTICULAR,7
NISSAN,Camión,ORELLANA,PARTICULAR,7
HINO,Trailer,PICHINCHA,ALQUILER,7
HINO,Camión,IMBABURA,MUNNICIPIO,7
MACK,Trailer,AZUAY,ALQUILER,7
VOLVO,Volqueta,EL ORO,PARTICULAR,7
TOYOTA,Volqueta,MANABÍ,PARTICULAR,7
INTERNATIONAL,Tanquero,GUAYAS,MUNNICIPIO,7
INTERNATIONAL,Trailer,TUNGURAHUA,PARTICULAR,7
SCANIA,Volqueta,EL ORO,PARTICULAR,7
TOYOTA,Camión,LOS RÍOS,ALQUILER,7
HYUNDAI,Volqueta,MANABÍ,PARTICULAR,6
ISUZU,Tanquero,GUAYAS,PARTICULAR,6
CHEVROLET,Trailer,ORELLANA,ALQUILER,6
FORD,Camión,ORELLANA,PARTICULAR,6
Otras Marcas,Trailer,CAÑAR,PARTICULAR,6
INTERNATIONAL,Camión,EL ORO,ALQUILER,6
INTERNATIONAL,Trailer,BOLÍVAR,PARTICULAR,6
CHEVROLET,Volqueta,COTOPAXI,ESTADO,6
FIAT,Camión,MANABÍ,PARTICULAR,6
MACK,Trailer,ESMERALDAS,PARTICULAR,6
Otras Marcas,Tanquero,PICHINCHA,PARTICULAR,6
NISSAN,Camión,SUCUMBÍOS,PARTICULAR,6
NISSAN,Volqueta,NAPO,PARTICULAR,6
CHEVROLET,Camión,ORELLANA,MUNNICIPIO,6
FORD,Volqueta,SANTA ELENA,PARTICULAR,6
NISSAN,Camión,CHIMBORAZO,ALQUILER,6
INTERNATIONAL,Volqueta,TUNGURAHUA,MUNNICIPIO,6
KIA,Camión,AZUAY,ALQUILER,6
MERCEDES BENZ,Volqueta,PASTAZA,PARTICULAR,6
DONGFENG,Trailer,GUAYAS,PARTICULAR,6
MAN,Camión,TUNGURAHUA,PARTICULAR,6
DAIHATSU,Camión,CAÑAR,ALQUILER,6
Otras Marcas,Camión,GUAYAS,ALQUILER,6
MACK,Tanquero,MANABÍ,PARTICULAR,6
