marca,clase,provincia,servicio,cantidad
ISUZU,Camión,PICHINCHA,PARTICULAR,113
ISUZU,Camión,AZUAY,PARTICULAR,111
HINO,Camión,CARCHI,PARTICULAR,111
HINO,Volqueta,LOS RÍOS,PARTICULAR,111
HINO,Camión,MANABÍ,ALQUILER,110
Otras Marcas,Camión,GUAYAS,PARTICULAR,110
HYUNDAI,Camión,IMBABURA,PARTICULAR,110
FORD,Volqueta,AZUAY,PARTICULAR,109
HINO,Camión,IMBABURA,ALQUILER,108
NISSAN,Camión,MANABÍ,PARTICULAR,108
TOYOTA,Camión,MANABÍ,PARTICULAR,103
HYUNDAI,Camión,TUNGURAHUA,PARTICULAR,101
MITSUBISHI,Camión,ESMERALDAS,PARTICULAR,100
HINO,Camión,CARCHI,ALQUILER,100
HINO,Camión,ESMERALDAS,PARTICULAR,99
MERCEDES BENZ,Camión,LOS RÍOS,ALQUILER,98
FORD,Camión,CAÑAR,PARTICULAR,96
MERCEDES BENZ,Volqueta,AZUAY,ALQUILER,93
HINO,Camión,LOS RÍOS,ALQUILER,93
CHEVROLET,Camión,CARCHI,ALQUILER,93
DAIHATSU,Camión,CHIMBORAZO,PARTICULAR,92
TOYOTA,Camión,TUNGURAHUA,PARTICULAR,90
FORD,Volqueta,PICHINCHA,PARTICULAR,90
MERCEDES BENZ,Camión,PICHINCHA,PARTICULAR,86
DAIHATSU,Camión,EL ORO,PARTICULAR,86
HINO,Volqueta,TUNGURAHUA,PARTICULAR,86
KENWORTH,Trailer,GUAYAS,PARTICULAR,85
HINO,Volqueta,AZUAY,PARTICULAR,85
MACK,Trailer,GUAYAS,ALQUILER,84
SCANIA,Camión,COTOPAXI,PARTICULAR,84
FORD,Camión,ESMERALDAS,PARTICULAR,84
KIA,Camión,LOS RÍOS,PARTICULAR,83
Otras Marcas,Camión,LOS RÍOS,PARTICULAR,82
CHEVROLET,Volqueta,PICHINCHA,PARTICULAR,80
HINO,Camión,CAÑAR,ALQUILER,80
MITSUBISHI,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,80
TOYOTA,Camión,LOJA,PARTICULAR,79
MERCEDES BENZ,Camión,COTOPAXI,PARTICULAR,78
MERCEDES BENZ,Volqueta,LOS RÍOS,PARTICULAR,78
CHEVROLET,Camión,ESMERALDAS,PARTICULAR,78
INTERNATIONAL,Trailer,PICHINCHA,PARTICULAR,77
ISUZU,Camión,MANABÍ,PARTICULAR,77
CHEVROLET,Volqueta,MANABÍ,PARTICULAR,77
MERCEDES BENZ,Camión,EL ORO,PARTICULAR,76
HYUNDAI,Camión,COTOPAXI,PARTICULAR,76
ISUZU,Camión,EL ORO,PARTICULAR,75
